City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
173,Duku,NG,86.38,moderate rain,11.2361,4.9073,
174,San Policarpo,PH,80.29,overcast clouds,12.1791,125.5072,Agapita M. Nicart
175,Sur,OM,91.49,clear sky,22.5667,59.5289,Sur Plaza Hotel
176,Kerrville,US,80.82,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
177,Axim,GH,82.6,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
181,Kwakoa,TZ,72.59,overcast clouds,-3.7667,37.7167,MJI Mwema Lodge
184,Yenagoa,NG,82.45,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
185,Bure,ET,74.1,broken clouds,10.7,37.0667,Holiday
186,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
187,Tabas,IR,73.18,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
191,Robertsport,LR,84.02,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
194,Guerrero Negro,MX,73.53,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
195,Kutum,SD,89.85,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
199,Galveston,US,89.02,scattered clouds,29.3669,-94.9669,Crystal Suites
202,Taxisco,GT,93.04,clear sky,14.0708,-90.4631,HOSTAL LAS MARIAS
203,Hervey Bay,AU,71.02,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
204,General Salgado,BR,84.74,clear sky,-20.6483,-50.3606,TUTU HOTEL
209,Conakry,GN,82.72,broken clouds,9.538,-13.6773,Riviera Royal Hotel
210,Doba,TD,96.31,light rain,8.65,16.85,Restaurant Auberge La Pétrolière
212,Kalmunai,LK,83.48,overcast clouds,7.4167,81.8167,VS Villa
214,Fort Frances,CA,70.05,scattered clouds,48.5999,-93.4003,LA PLACE RENDEZ-VOUS
216,Lucapa,AO,77.25,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
220,Gostovici,BA,79.68,broken clouds,44.415,18.1583,A giant Stone Sphere
221,Chokwe,MZ,73.13,clear sky,-24.5333,32.9833,Complexo Sonho Real
223,Bela,IN,97.72,clear sky,25.9333,81.9833,Raj Bhawan
224,Barra Do Garcas,BR,92.46,scattered clouds,-15.89,-52.2567,Pousada Tropical
225,Karaton,ID,76.48,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
226,Bousso,TD,94.73,light rain,10.4795,16.7117,
229,Pasighat,IN,71.15,overcast clouds,28.0667,95.3333,Siang Guest House
233,Simpang,ID,74.98,broken clouds,-1.2667,104.0833,
234,Salalah,OM,84.33,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
235,Bubaque,GW,78.66,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
236,Boke,GN,93.65,overcast clouds,10.9409,-14.2967,Hôtel Rio Nunez - Boké
239,Namibe,AO,73.89,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
240,Vermilion,US,88.39,clear sky,40.1667,-87.7506,Sparkling Springs Cabin
242,Pangkalanbuun,ID,76.78,light rain,-2.6833,111.6167,Grand Kecubung Hotel
243,Key West,US,82.0,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
247,Omboue,GA,80.04,broken clouds,-1.5746,9.2618,Hotel Olako
248,Merauke,ID,79.99,broken clouds,-8.4667,140.3333,
250,Masuguru,TZ,73.08,scattered clouds,-11.3667,38.4167,
257,Glens Falls,US,83.7,broken clouds,43.3095,-73.644,Super 8 by Wyndham Queensbury Glens Falls/Lake George Area
258,Lata,PT,82.49,broken clouds,40.1629,-8.3327,Casa Maquia
259,Znojmo,CZ,71.91,broken clouds,48.8555,16.0488,Hotel Morava
260,Gizo,SB,81.27,few clouds,-8.103,156.8419,Imagination Island
261,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
263,Cimislia,MD,75.34,broken clouds,46.52,28.7842,Tabara El-Sadai
264,Bengkulu,ID,78.28,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
267,Abu Samrah,SY,77.0,clear sky,35.3029,37.1841,
268,Pilar,BR,78.73,few clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
269,Ridgecrest,US,73.65,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
274,Hwange,ZW,72.03,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
